area,type
eg_augaspis,bees
eg_bidentata,bees
eg_piliventris,bees
eg_prasina,bees
el_pseudocingulta,bees
eg_gaianii,bees
Abarema_jupunba,trees
Ampelocera_edentula,trees
Amphirrhox_longifolia,trees
Anacardium_giganteum,trees
Anacardium_parvifolium,trees
Andira_micrantha,trees
Andira_unifoliolata,trees
Aniba_rosaeodora,trees
Anisophyllea_manausensis,trees
Anomalocalyx_uleanus,trees
Aparisthmium_cordatum,trees
Apeiba_echinata,trees
Aspidosperma_aracanga,trees
Aspidosperma_nitidum,trees
Astrocaryum_aculeatum,trees
Astrocaryum_murumuru,trees
Attalea_maripa,trees
Bellucia_grossularioides,trees
Bellucia_imperialis,trees
Bertholletia_excelsa,trees
Bocageopsis_multiflora,trees
Bocoa_viridiflora,trees
Borojoa_claviflora,trees
Brosimum_guianense,trees
Brosimum_parinarioides,trees
Brosimum_rubescens,trees
Buchenavia_grandis,trees
Buchenavia_guianensis,trees
Buchenavia_parvifolia,trees
Byrsonima_chrysophylla,trees
Byrsonima_crispa,trees
Calycolpus_goetheanus,trees
Carapa_guianensis,trees
Cariniana_micrantha,trees
Caryocar_glabrum,trees
Caryocar_villosum,trees
Casearia_javitensis,trees
Casearia_manausensis,trees
Casearia_pitumba,trees
Catostemma_albuquerquei,trees
Cecropia_purpurascens,trees
Cecropia_sciadophylla,trees
Chimarrhis_barbata,trees
Chromolucuma_rubiflora,trees
Chrysophyllum_amazonicum,trees
Chrysophyllum_sanguinolentum_balata,trees
Clarisia_racemosa,trees
Coccoloba_mollis,trees
Conceveiba_guianensis,trees
Cordia_exaltata,trees
Corythophora_alta,trees
Corythophora_rimosa,trees
Couepia_canomensis,trees
Couepia_robusta,trees
Couma_guianensis,trees
Couratari_stellata,trees
Coussapoa_orthoneura,trees
Croton_lanjouwensis,trees
Cupania_scrobiculata,trees
Cybianthus_guyanensis,trees
Dinizia_excelsa,trees
Diospyros_cavalcantei,trees
Diospyros_guianensis,trees
Diplotropis_martiusii,trees
Dipteryx_magnifica,trees
Dipteryx_odorata,trees
Duguetia_flagellaris,trees
Duguetia_stelechantha,trees
Duguetia_surinamensis,trees
Dulacia_candida,trees
Duroia_longiflora,trees
Duroia_macrophylla,trees
Duroia_saccifera,trees
Ecclinusa_guianensis,trees
Endopleura_uchi,trees
Eriotheca_globosa,trees
Erisma_bicolor,trees
Erisma_bracteosum,trees
Eschweilera_collina,trees
Eschweilera_coriacea,trees
Eschweilera_cyathiformis,trees
Eschweilera_grandiflora,trees
Eschweilera_pseudodecolorans,trees
Eschweilera_romeucardosoi,trees
Eschweilera_tessmannii,trees
Eschweilera_truncata,trees
Eschweilera_wachenheimii,trees
Eugenia_cupulata,trees
Eugenia_florida,trees
Euterpe_precatoria,trees
Fusaea_longifolia,trees
Geissospermum_argenteum,trees
Glycidendron_amazonicum,trees
Goupia_glabra,trees
Guapira_sp._1,trees
Guarea_humaitensis,trees
Guarea_pubescens,trees
Guarea_silvatica,trees
Guatteria_olivacea,trees
Guatteriopsis_blepharophylla,trees
Gustavia_elliptica,trees
Heisteria_barbata,trees
Helicostylis_scabra,trees
Helicostylis_tomentosa,trees
Henriettella_caudata,trees
Hevea_guianensis,trees
Himatanthus_sucuuba,trees
Hirtella_racemosa,trees
Hymenaea_intermedia,trees
Hymenolobium_modestum,trees
Inga_alba,trees
Inga_cayennensis,trees
Inga_cordatoalata,trees
Inga_gracilifolia,trees
Inga_grandiflora,trees
Inga_marginata,trees
Inga_obidensis,trees
Inga_paraensis,trees
Inga_splendens,trees
Inga_umbratica,trees
Iryanthera_juruensis,trees
Iryanthera_ulei,trees
Isertia_hypoleuca,trees
Jacaranda_copaia,trees
Jacaratia_spinosa,trees
Kutchubaea_sericantha,trees
Lacistema_aggregatum,trees
Lacmellea_aculeata,trees
Lacmellea_gracilis,trees
Lacunaria_jenmanii,trees
Laetia_procera,trees
Lecythis_barnebeyii,trees
Lecythis_prancei,trees
Lecythis_zabucajo,trees
Leonia_cymosa,trees
Leonia_glycycarpa,trees
Licania_adolphoduckei,trees
Licania_bracteata,trees
Licania_canescens,trees
Licania_heteromorpha,trees
Licania_impressa,trees
Licania_micrantha,trees
Licania_niloi,trees
Licania_oblongifolia,trees
Licania_rodriguesii,trees
Licania_sothersiae,trees
Licaria_guianensis,trees
Licaria_martiniana,trees
Licaria_rodriguesii,trees
Lueheopsis_rosea,trees
Mabea_angularis,trees
Mabea_piriri,trees
Mabea_speciosa,trees
Macrolobium_limbatum,trees
Macrolobium_prancei,trees
Manilkara_bidentata,trees
Manilkara_cavalcantei,trees
Manilkara_huberi,trees
Maprounea_guianensis,trees
Maquira_sclerophylla,trees
Marlierea_caudata,trees
Marlierea_umbraticola,trees
Maytenus_guianensis,trees
Mezilaurus_duckei,trees
Mezilaurus_itauba,trees
Miconia_argyrophylla,trees
Miconia_dispar,trees
Miconia_eriodonta,trees
Miconia_martiniana,trees
Miconia_poeppigii,trees
Miconia_pyrifolia,trees
Micrandra_spruceana,trees
Micrandropsis_scleroxylon,trees
Micropholis_guyanensis,trees
Micropholis_guyanensis_duckeana,trees
Micropholis_guyanensis_guyanensis,trees
Micropholis_splendens,trees
Micropholis_venulosa,trees
Micropholis_williamii,trees
Minquartia_guianensis,trees
Moronobea_coccinea,trees
Mouriri_ficoides,trees
Myrcia_amazonica,trees
Myrcia_fallax,trees
Myrcia_fenestrata,trees
Myrcia_minutiflora,trees
Myrcia_paivae,trees
Naucleopsis_caloneura,trees
Naucleopsis_ulei,trees
Neea_oppositifolia,trees
Neea_sp._1,trees
Ocotea_aciphylla,trees
Ocotea_cinerea,trees
Ocotea_longifolia,trees
Ocotea_nigrescens,trees
Ocotea_olivacea,trees
Oenocarpus_bacaba,trees
Oenocarpus_bataua,trees
Oenocarpus_minor,trees
Orbignya_phalerata,trees
Osteophloeum_platyspermum,trees
Ouratea_discophora,trees
Ouratea_odora,trees
Paramachaerium_ormosioides,trees
Parinari_excelsa,trees
Parinari_montana,trees
Parinari_parvifolia,trees
Parkia_multijuga,trees
Parkia_nitida,trees
Parkia_pendula,trees
Pausandra_macropetala,trees
Paypayrola_grandiflora,trees
Peltogyne_catingae,trees
Peltogyne_paniculata,trees
Platymiscium_duckei,trees
Pogonophora_schomburgkiana,trees
Poraqueiba_sericea,trees
Pourouma_bicolor,trees
Pourouma_cuspidata,trees
Pourouma_guianensis,trees
Pourouma_minor,trees
Pourouma_ovata,trees
Pourouma_tomentosa,trees
Pourouma_villosa,trees
Pouteria_anomala,trees
Pouteria_caimito,trees
