taxa	connect_r1	mod_r1	nest_r1	robustness_LL_r1_large_to_small 
liz	0.4257143	0.1820188	60.32269	0.771488
liz	0.4257143	0.1826044	64.96845	0.740059
liz	0.4257143	0.1963425	62.05234	0.7214721
liz	0.4257143	0.190622	59.96336	0.7256916
liz	0.4584615	0.2033242	66.20837	0.7671938
liz	0.4584615	0.1838205	59.50582	0.7210834
liz	0.4257143	0.1844512	66.12124	0.7600442
liz	0.4257143	0.1994054	67.01644	0.7719149
liz	0.4257143	0.1831899	65.85898	0.7269874
liz	0.4257143	0.1817486	64.18388	0.714332
liz	0.4257143	0.1804874	63.34596	0.7347438
liz	0.4257143	0.1838656	62.40604	0.7343329
liz	0.4584615	0.1889104	65.35356	0.7599408
liz	0.4257143	0.1977388	59.1895	0.7311752
liz	0.4257143	0.1952164	66.02934	0.6757704
liz	0.4584615	0.1932345	64.51788	0.7572451
liz	0.4257143	0.1791811	63.06653	0.7399427
liz	0.4584615	0.16756	66.58067	0.7647423
liz	0.4257143	0.1910274	59.96305	0.8000647
mid.large	0.4744828	0.1388588	73.37616	0.7012356
mid.large	0.4744828	0.1284985	73.68989	0.742714
mid.large	0.4914286	0.1382335	67.55323	0.7299855
mid.large	0.4744828	0.133366	72.07	0.7041955
mid.large	0.4744828	0.1350815	72.86446	0.7054416
mid.large	0.4744828	0.1360617	75.05702	0.7327219
mid.large	0.4744828	0.1368983	75.10239	0.7162554
mid.large	0.4744828	0.1435573	71.68341	0.7170642
mid.large	0.4744828	0.1350815	74.05123	0.7370627
mid.large	0.4744828	0.1327322	72.93578	0.7728286
mid.large	0.4744828	0.1367293	74.79346	0.732835
mid.large	0.4744828	0.1460671	71.32844	0.7215728
mid.large	0.4744828	0.1296562	73.93351	0.7249785
mid.large	0.4744828	0.1402532	69.80236	0.6899449
mid.large	0.4744828	0.1342618	70.30817	0.7256304
mid.large	0.4744828	0.1379631	71.97798	0.6963484
mid.large	0.4744828	0.1298506	71.33992	0.7542616
mid.large	0.4744828	0.1318787	72.82702	0.6958155
mid.large	0.4914286	0.1395856	68.61068	0.7229817
mid.large	0.4744828	0.1351322	73.25862	0.7212867
mid.large	0.4744828	0.1422306	69.97453	0.7177743
mid.large	0.4744828	0.1323097	73.08319	0.7227724
mid.large	0.4744828	0.1298928	74.21687	0.6984556
mid.large	0.4744828	0.1523036	75.10626	0.7178769
mid.large	0.4744828	0.1384617	67.32714	0.7492584
mid.large	0.4744828	0.1345913	70.54307	0.7200627
mid.large	0.4744828	0.1510529	74.24822	0.720691
mid.large	0.4744828	0.1330533	70.24934	0.7185568
mid.large	0.4744828	0.1359519	70.5038	0.7313682
mid.large	0.4914286	0.1326224	72.19211	0.7084943
mid.large	0.4744828	0.1361885	71.03935	0.7385428
mid.large	0.4744828	0.1466502	68.65984	0.7556911
mid.large	0.4744828	0.1318111	72.2985	0.7430561
mid.large	0.4744828	0.1382335	72.25046	0.7499717
mid.large	0.4744828	0.1415292	72.7304	0.7256408
mid.large	0.4744828	0.1370251	71.84209	0.7328209
mid.large	0.4744828	0.1411912	71.30276	0.7056544
mid.large	0.4744828	0.1382335	75.38146	0.7556826
mid.large	0.4744828	0.1304421	72.27852	0.7184965
mid.large	0.4744828	0.1413264	70.27098	0.7378287
mid.large	0.4744828	0.1340505	72.10204	0.7442196
mid.large	0.4744828	0.1351068	71.65673	0.7248715
mid.large	0.4744828	0.1385208	73.57601	0.7314952
mid.large	0.4744828	0.1328759	72.54052	0.7412928
mid.large	0.4744828	0.1419095	69.06083	0.7215042
mid.large	0.4744828	0.1367547	69.79228	0.7227395
mid.large	0.4914286	0.1304675	74.47321	0.736259
mid.large	0.4744828	0.1306618	72.43793	0.7241491
mid.large	0.4744828	0.1325379	71.80482	0.710134
mid.large	0.4744828	0.1446221	72.43069	0.7376749
mid.large	0.4914286	0.1357913	74.59009	0.7372723
mid.large	0.4744828	0.1339575	73.14003	0.6920544
