Taxonomic_group	site_code	normalised_degree	nested_contribution	site_area	degree
frogs	Is11	0.14285714	1.6881905	53.2	5
frogs	Is19	0.48571429	2.5073977	627.46	17
frogs	Is17	0.37142857	1.0246147	218.74	13
frogs	Is8	0.28571429	1.0652705	17.45	10
frogs	Is1	0.2	1.6826656	1.52	7
frogs	Is16	0.22857143	1.7780715	193	8
frogs	Is21	0.45714286	3.1342003	744.8	16
frogs	Is6	0.17142857	2.1469828	9.23	6
frogs	Is20	0.37142857	2.2238229	669.88	13
frogs	Is14	0.22857143	2.0560991	97.42	8
frogs	Is10	0.02857143	0.3182627	32.83	1
frogs	Is9	0.08571429	0.3625076	21.21	3
frogs	Is3	0.08571429	1.3935894	3.31	3
frogs	Is5	0.08571429	0.4745165	5.85	3
frogs	Is15	0.31428571	0.8547282	110.03	11
frogs	I22	0.6	2.9473318	1459.7	21
frogs	Is12	0.22857143	1.170781	70.8	8
frogs	Is13	0.28571429	1.5500463	77.89	10
frogs	Is4	0.08571429	1.3746746	3.52	3
frogs	Is18	0.37142857	1.6027137	484.03	13
frogs	CF1	0.28571429	1.757696	14596.99	10
frogs	CF2	0.4	3.0745866	14596.99	14
frogs	CF3	0.34285714	1.7045416	14596.99	12
beetles	Is7	0	-0.8433513	12.37	0
beetles	Is2	0	-0.6806056	2.17	0
beetles	Is11	0.03030303	0.2532115	53.2	1
beetles	Is19	0.21212121	1.8443444	627.46	7
beetles	Is17	0.06060606	1.0932227	218.74	2
beetles	Is8	0.12121212	0.6866818	17.45	4
beetles	Is1	0	-0.7507686	1.52	0
beetles	Is16	0.27272727	0.8653133	193	9
beetles	Is21	0.12121212	0.3274033	744.8	4
beetles	Is6	0	-0.8517106	9.23	0
beetles	Is20	0.36363636	2.2420384	669.88	12
beetles	Is14	0.06060606	-0.1012739	97.42	2
beetles	Is10	0.12121212	0.5190049	32.83	4
beetles	Is9	0.12121212	-0.7819313	21.21	4
beetles	Is3	0	-0.8965808	3.31	0
beetles	Is5	0.03030303	1.8846635	5.85	1
beetles	Is15	0.09090909	1.4255563	110.03	3
beetles	I22	0.39393939	2.2337225	1459.7	13
beetles	Is12	0	-0.9192476	70.8	0
beetles	Is13	0.12121212	0.8644951	77.89	4
beetles	Is4	0.03030303	-0.4704954	3.52	1
beetles	Is18	0.12121212	1.3342649	484.03	4
beetles	CF1	0.3030303	1.5748898	14596.99	10
beetles	CF2	0.60606061	3.8977765	14596.99	20
beetles	CF3	0.18181818	0.7282149	14596.99	6
bees	Is7	0.4583333	1.4978652	12.37	11
bees	Is2	0.125	2.5365512	2.17	3
bees	Is11	0.1666667	1.6102649	53.2	4
bees	Is19	0.625	2.1401895	627.46	15
bees	Is17	0.1666667	1.9030595	218.74	4
bees	Is8	0.2083333	-0.1588383	17.45	5
bees	Is1	0.125	1.1017937	1.52	3
bees	Is16	0.375	1.0584081	193	9
bees	Is21	0.4583333	1.577933	744.8	11
bees	Is6	0.2916667	1.2076774	9.23	7
bees	Is20	0.3333333	1.9740744	669.88	8
bees	Is14	0.2916667	0.5608038	97.42	7
bees	Is10	0.2916667	1.2360733	32.83	7
bees	Is9	0.4166667	1.0988086	21.21	10
bees	Is3	0.4583333	1.8243911	3.31	11
bees	Is5	0.2083333	1.3521896	5.85	5
bees	Is15	0.375	1.1583993	110.03	9
bees	I22	0.5	2.6530925	1459.7	12
bees	Is12	0.4583333	1.114645	70.8	11
bees	Is13	0.2083333	1.2594196	77.89	5
bees	Is4	0.2083333	0.8562409	3.52	5
bees	Is18	0.375	1.8028031	484.03	9
bees	CF1	0.375	0.7967129	14596.99	9
bees	CF2	0.4166667	1.7537954	14596.99	10
bees	CF3	0.375	1.1236344	14596.99	9
trees	Is7	0.24776119	4.227341	12.37	83
trees	Is2	0.17313433	3.309401	2.17	58
trees	Is11	0.20895522	3.716515	53.2	70
trees	Is19	0.41791045	6.73057	627.46	140
trees	Is17	0.32238806	5.586219	218.74	108
trees	Is8	0.27462687	4.347022	17.45	92
trees	Is1	0.12537313	3.506709	1.52	42
trees	Is16	0.34328358	5.029704	193	115
trees	Is21	0.4238806	5.165059	744.8	142
trees	Is6	0.18208955	5.262889	9.23	61
trees	Is20	0.3761194	4.676132	669.88	126
trees	Is14	0.32238806	4.214942	97.42	108
trees	Is10	0.22686567	4.742159	32.83	76
trees	Is9	0.20597015	3.934073	21.21	69
trees	Is3	0.09552239	3.323301	3.31	32
trees	Is5	0.12835821	3.150306	5.85	43
trees	Is15	0.35223881	4.916082	110.03	118
trees	I22	0.39402985	7.006198	1459.7	132
trees	Is12	0.26865672	4.131222	70.8	90
trees	Is13	0.29850746	5.015671	77.89	100
trees	Is4	0.09253731	2.373442	3.52	31
trees	Is18	0.3641791	6.361127	484.03	122
trees	CF1	0.46567164	6.931648	14596.99	156
trees	CF2	0.37014925	6.230756	14596.99	124
trees	CF3	0.44776119	5.164806	14596.99	150
all_taxa	Is7	0.19868637	5.178956	12.37	121
all_taxa	Is2	0.136289	5.577511	2.17	83
all_taxa	Is11	0.18226601	5.52015	53.2	111
all_taxa	Is19	0.40065681	7.905552	627.46	244
all_taxa	Is17	0.30213465	6.831395	218.74	184
all_taxa	Is8	0.24137931	6.083496	17.45	147
all_taxa	Is1	0.10180624	4.468121	1.52	62
all_taxa	Is16	0.34318555	7.226261	193	209
all_taxa	Is21	0.43513957	8.350276	744.8	265
all_taxa	Is6	0.15763547	5.720959	9.23	96
all_taxa	Is20	0.38752053	5.545586	669.88	236
all_taxa	Is14	0.26765189	5.993931	97.42	163
all_taxa	Is10	0.1954023	5.649254	32.83	119
all_taxa	Is9	0.19211823	5.877696	21.21	117
all_taxa	Is3	0.09852217	4.780373	3.31	60
all_taxa	Is5	0.12315271	4.899714	5.85	75
all_taxa	Is15	0.31198686	6.879771	110.03	190
all_taxa	I22	0.408867	8.991547	1459.7	249
all_taxa	Is12	0.24466338	4.808347	70.8	149
all_taxa	Is13	0.24958949	6.863124	77.89	152
all_taxa	Is4	0.08702791	4.591058	3.52	53
all_taxa	Is18	0.35632184	7.255103	484.03	217
all_taxa	CF1	0.4499179	8.642148	14596.99	274
all_taxa	CF2	0.45977011	9.94317	14596.99	280
all_taxa	CF3	0.41707718	6.924839	14596.99	254
