taxa	species	body_size	body_size_st	degree	normalized.degree	betweenness	nested_contribution	betweenness_igraph
mid.large	Pecari_tajacu	21.27	13.2916875	12	0.48	0.06666667	1.9250546	0.007806484
mid.large	Priodontes_maximus_	38	23.75	4	0.16	0	1.4137938	0.000356855
mid.large	Puma_concolor	51.6	32.25	12	0.48	0	1.3937681	0.007979246
mid.large	Puma_yaguaroundi	6.75	4.2186875	4	0.16	0	1.3507883	0.000346541
mid.large	Tapirus_terrestris	160	100	18	0.72	0.06666667	1.4730608	0.030831636
mid.large	Tayassu_pecari	32.23	20.1460625	3	0.12	0	1.6251009	0.000171905
birds	Amazilia_versicolor	4.1	1.137751138	3	0.12	0.0015	-1.74608309	8.29E-04
birds	Ammodramus_aurifrons	17.8	4.93950494	1	0.04	0	-1.78920863	0.00E+00
birds	Arremon_taciturnus	24.8	6.882006882	1	0.04	0	1.63490347	0.00E+00
birds	Attila_spadiceus	39.1	10.85026085	10	0.4	0.0283	1.9136515	1.44E-02
birds	Automolus_infuscatus	32.9	9.12975913	2	0.08	0.0033	1.66078313	7.06E-04
birds	Automolus_ochrolaemus	40.2	11.15551116	2	0.08	0.0004	-0.38467992	7.85E-05
birds	Bucco_tamatia	54	14.98501499	1	0.04	0	-1.09639977	0.00E+00
birds	Cacicus_cela	85.45	23.71239871	1	0.04	0	-1.32123642	0.00E+00
birds	Campephilus_rubricollis	210.71	58.47208347	1	0.04	0	1.40979567	0.00E+00
birds	Campylopterus_largipennis	8.3	2.303252303	2	0.08	0.0005	-0.34266589	1.04E-04
birds	Catharus_fuscescens	31.9	8.852258852	2	0.08	0.0013	-0.3470789	2.84E-04
birds	Celeus_elegans	134.97	37.45421245	9	0.36	0.011	-0.5916956	8.41E-03
birds	Ceratopipra_erythrocephala	13.43	3.726828727	7	0.28	0.042	1.21217422	2.42E-02
birds	Cercomacroides_tyrannina	16.3	4.523254523	2	0.08	0.0028	0.32962218	5.10E-04
birds	Certhiasomus_stictolaemus	18.5	5.133755134	6	0.24	0.0072	2.02885281	3.27E-03
birds	Chloroceryle_aenea	13.75	3.815628816	2	0.08	0.0054	1.35923829	1.18E-03
