area,type
Virola_mollissima,species
Virola_pavonis,species
Virola_theiodora,species
Vismia_cayennensis,species
Vismia_guianensis,species
Vismia_japurensis,species
Xylopia_amazonica,species
Xylopia_benthamii,species
Xylopia_calophylla,species
Xylopia_cuspidata,species
Zanthoxylum_djalma_batistae,species
Zygia_juruana,species
Zygia_racemosa,species
Zygia_ramiflora,species
